Date : 2026-04-27 14:00:42
Directory : /home/dharon/watum
Total : 718 files,  115427 codes, 10237 comments, 20628 blanks, all 146292 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| performance/report/sbadmin2-1.0.7/bower_components/metisMenu/dist                                                               |          2 |          2 |         16 |          1 |         19 |
| performance/report/sbadmin2-1.0.7/dist                                                                                          |          2 |        384 |          8 |         77 |        469 |
| performance/report/sbadmin2-1.0.7/dist/css                                                                                      |          1 |        356 |          5 |         71 |        432 |
| performance/report/sbadmin2-1.0.7/dist/js                                                                                       |          1 |         28 |          3 |          6 |         37 |
| performance/report/sbadmin2-1.0.7/less                                                                                          |          3 |        293 |         15 |         76 |        384 |
| prisma                                                                                                                          |          1 |        170 |         11 |         52 |        233 |
| scripts                                                                                                                         |         11 |      1,317 |        409 |        209 |      1,935 |
| src                                                                                                                             |        280 |     25,063 |        194 |      2,189 |     27,446 |
| src (Files)                                                                                                                     |          4 |         65 |          6 |         14 |         85 |
| src/lib                                                                                                                         |        256 |      9,638 |        151 |      1,222 |     11,011 |
| src/lib (Files)                                                                                                                 |          3 |        132 |          6 |         20 |        158 |
| src/lib/app                                                                                                                     |          1 |        390 |          0 |         51 |        441 |
| src/lib/assets                                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| src/lib/client                                                                                                                  |          2 |        149 |          1 |         43 |        193 |
| src/lib/components                                                                                                              |         33 |      1,180 |          6 |        157 |      1,343 |
| src/lib/components/app                                                                                                          |          3 |        503 |          0 |         66 |        569 |
| src/lib/components/ui                                                                                                           |         30 |        677 |          6 |         91 |        774 |
| src/lib/components/ui/badge                                                                                                     |          2 |         47 |          0 |          7 |         54 |
| src/lib/components/ui/button                                                                                                    |          2 |        104 |          1 |          9 |        114 |
| src/lib/components/ui/card                                                                                                      |          8 |        163 |          1 |         23 |        187 |
| src/lib/components/ui/input                                                                                                     |          2 |         49 |          1 |          7 |         57 |
| src/lib/components/ui/label                                                                                                     |          2 |         23 |          1 |          5 |         29 |
| src/lib/components/ui/select                                                                                                    |         12 |        265 |          1 |         35 |        301 |
| src/lib/components/ui/separator                                                                                                 |          2 |         26 |          1 |          5 |         32 |
